Date,Video Folder,Video #,Trial,Tank,Group,activity_numchases,activity_timechases,novel_numchases,novel_timechases,food_numchases,food_timechases,pred_numchases,pred_timechases,,,,,
8/18/17,RH4,2,2,7,2O,0,0,2,1232,1,598,7,13890,,,,,
8/20/17,RH4,2,3,7,2O,7,167075,11,55244,10,73516,13,133613,,,,,
9/29/17,RH1,3,1,2,2O_2,0,0,0,0,0,0,0,0,,,,,
10/1/17,RH1,2,2,2,2O_2,0,0,0,0,0,0,0,0,,,,,
8/16/17,RH4 81617,"3,4",1,8,2P,NA,NA,0,0,0,0,NA,NA,,,,,
8/18/17,RH4,2,2,8,2P,0,0,1,440,0,0,0,0,,,,,
8/20/17,RH4,2,3,8,2P,0,0,0,0,0,0,0,0,,,,,
9/29/17,RH4,2,1,7,2P_2,0,0,0,0,0,0,0,0,,,,,
10/1/17,RH4,2,2,7,2P_2,0,0,0,0,0,0,0,0,,,,,
10/3/17,RH4,2,3,7,2P_2,0,0,0,0,0,0,0,0,,,,,
8/15/17,RH2 81517,1,1,3,4A,8,4842,8,4842,7,14451,NA,NA,,,,,
8/17/17,RH2 81717,1,2,3,4A,1,2745,8,15936,1,500,0,0,,,,,
8/19/17,RH2,1,3,3,4A,20,33697,24,135137,3,8301,NA,NA,,,,,
9/28/17,RH2,1,1,3,4A_2,4,5943,1,1760,0,0,2,981,,,,,
9/30/17,RH2,1,2,3,4A_2,3,5418,4,3468,6,10440,4,3847,,,,,
10/2/17,RH2,1,3,3,4A_2,5,7190,11,16809,13,12660,5,5916,,,,,
10/7/17,RH2,1,1,3,4A_3,0,0,2,7761,0,0,0,0,,,,,
10/9/17,RH2,1,2,3,4A_3,0,0,20,68983,6,14846,0,0,,,,,
10/11/17,RH2,1,3,3,4A_3,6,8060,13,50282,17,107562,3,4442,,,,,
8/15/17,RH2 81517,1,1,4,4B,0,0,2,1568,6,6472,0,0,,,,,
8/17/17,RH2 81717,1,2,4,4B,0,0,0,0,0,0,0,0,,,,,
9/28/17,RH2,1,1,4,4B_2,0,0,8,25209,1,719,0,0,,,,,
9/30/17,RH2,1,2,4,4B_2,0,0,11,12445,12,39852,0,0,,,,,
10/2/17,RH2,1,3,4,4B_2,3,7089,8,9411,9,12436,7,21472,,,,,
10/7/17,RH2,1,1,4,4B_3,0,0,0,0,0,0,0,0,,,,,
