date,camera,trial,tank,group_ID,move1,move2,move3,move4,move5,move6,move7,move8,move_numchases,move_timechases
10717,RH1,1,1,2E_3,8,8,-,-,-,-,-,-,0,0
10717,RH1,1,2,2B_3,8,33,-,-,-,-,-,-,13,41954
10717,RH1,1,2,2F_3,19,31,-,-,-,-,-,-,1,1838
10717,RH2,1,3,4A_3,16,19,23,24,-,-,-,-,0,0
10717,RH2,1,3,4E_3,5,6,11,37,-,-,-,-,0,0
10717,RH2,1,4,4B_3,5,5,7,18,-,-,-,-,0,0
10717,RH2,1,4,4F_3,4,6,6,10,-,-,-,-,0,0
10717,RH3,1,5,8A_3,2,5,7,32,36,42,46,52,7,6192
10717,RH3,1,5,8E_3,3,8,13,14,23,32,37,99,0,0
10717,RH3,1,6,8B_3,3,8,8,8,10,14,31,33,0,0
10717,RH4,1,7,2C_3,8,11,-,-,-,-,-,-,0,0
10717,RH4,1,7,2G_3,11,13,-,-,-,-,-,-,0,0
10717,RH4,1,8,2D_3,11,147,-,-,-,-,-,-,0,0
10717,RH4,1,8,2H_3,23,36,-,-,-,-,-,-,1,496
10717,RH5,1,9,4C_3,10,12,24,300,-,-,-,-,1,1054
10717,RH5,1,9,4G_3,2,2,2,4,-,-,-,-,4,9768
10717,RH5,1,10,4D_3,10,30,47,49,-,-,-,-,8,12096
10717,RH5,1,10,4H_3,2,2,8,17,-,-,-,-,2,2868
10717,RH6,1,11,8C_3,2,5,9,10,12,13,21,22,0,0
10717,RH6,1,11,8G_3,4,4,5,8,8,10,11,12,8,9372
10717,RH6,1,12,8D_3,1,15,16,17,18,21,21,25,0,0
10717,RH6,1,12,8H_3,3,3,4,4,6,8,8,11,0,0
10817,RH1,1,1,2I_3,14,55,-,-,-,-,-,-,0,0
10817,RH2,1,3,4I_3,5,12,30,100,-,-,-,-,0,0
10817,RH2,1,4,4J_3,8,10,24,300,-,-,-,-,0,0
10817,RH3,1,5,8I_3,3,5,5,6,7,10,12,27,0,0
10817,RH3,1,6,8J_3,8,10,11,13,17,17,17,22,24,48223
10817,RH6,1,11,8K_3,3,11,13,14,23,108,145,192,2,1737
10817,RH6,1,12,8L_3,4,5,7,15,17,40,42,207,0,0
10917,RH1,2,1,2A_3,9,18,-,-,-,-,-,-,0,0
10917,RH1,2,1,2E_3,8,15,-,-,-,-,-,-,0,0
10917,RH1,2,2,2B_3,8,25,-,-,-,-,-,-,10,36394
10917,RH1,2,2,2F_3,22,300,-,-,-,-,-,-,8,28995
10917,RH2,2,3,4A_3,6,10,39,43,-,-,-,-,0,0
10917,RH2,2,4,4B_3,7,9,12,22,-,-,-,-,1,701
10917,RH2,2,4,4F_3,2,9,10,11,-,-,-,-,18,31032
10917,RH3,2,5,8A_3,5,8,10,11,13,14,22,24,6,5101
10917,RH3,2,5,8E_3,4,5,7,8,10,15,16,119,2,7001
10917,RH3,2,6,8B_3,4,5,7,12,15,23,24,28,3,2128
10917,RH4,2,7,2C_3,13,26,-,-,-,-,-,-,0,0
10917,RH4,2,7,2G_3,11,21,-,-,-,-,-,-,0,0
10917,RH4,2,8,2D_3,212,237,-,-,-,-,-,-,0,0
10917,RH4,2,8,2H_3,30,300,-,-,-,-,-,-,0,0
10917,RH5,2,9,4C_3,12,28,38,300,-,-,-,-,0,0
10917,RH5,2,9,4G_3,4,8,10,300,-,-,-,-,0,0
10917,RH5,2,10,4D_3,12,13,17,18,-,-,-,-,14,20576
10917,RH5,2,10,4H_3,4,5,7,17,-,-,-,-,0,0
10917,RH6,2,11,8C_3,3,5,5,6,8,8,11,13,1,5071
10917,RH6,2,11,8G_3,7,7,8,9,9,10,12,16,0,0
10917,RH6,2,12,8H_3,4,5,12,15,16,16,16,29,0,0
101017,RH1,2,1,2I_3,38,300,-,-,-,-,-,-,0,0
101017,RH2,2,3,4I_3,23,72,86,130,-,-,-,-,0,0
101017,RH2,2,4,4J_3,13,21,33,51,-,-,-,-,0,0
101017,RH3,2,5,8I_3,3,3,4,5,6,14,15,30,0,0
101017,RH3,2,6,8J_3,5,6,8,9,11,26,43,67,25,31866
101017,RH6,2,12,8L_3,10,14,15,16,19,21,27,44,0,0
101117,RH1,3,1,2A_3,3,19,-,-,-,-,-,-,14,111731
101117,RH1,3,1,2E_3,8,20,-,-,-,-,-,-,0,0
101117,RH1,3,2,2B_3,12,29,-,-,-,-,-,-,10,44233
101117,RH1,3,2,2F_3,37,300,-,-,-,-,-,-,0,0
101117,RH2,3,3,4A_3,7,13,18,20,-,-,-,-,3,4442
101117,RH2,3,4,4B_3,6,9,12,300,-,-,-,-,2,1683
101117,RH2,3,4,4F_3,3,5,5,6,-,-,-,-,15,31472
101117,RH3,3,5,8A_3,2,4,5,6,7,12,18,21,19,22639
101117,RH3,3,6,8B_3,2,2,5,5,10,15,18,21,7,9401
101117,RH4,3,7,2C_3,10,15,-,-,-,-,-,-,0,0
101117,RH4,3,7,2G_3,15,28,-,-,-,-,-,-,0,0
101117,RH4,3,8,2D_3,18,300,-,-,-,-,-,-,0,0
101117,RH4,3,8,2H_3,5,27,-,-,-,-,-,-,1,1124
101117,RH5,3,9,4C_3,22,24,98,112,-,-,-,-,0,0
101117,RH5,3,9,4G_3,5,11,16,300,-,-,-,-,0,0
101117,RH5,3,10,4D_3,55,63,300,300,-,-,-,-,3,5119
101117,RH5,3,10,4H_3,2,3,7,14,-,-,-,-,0,0
101117,RH6,3,11,8C_3,2,4,5,6,7,9,11,20,0,0
101117,RH6,3,11,8G_3,3,5,5,6,7,8,12,21,0,0
101117,RH6,3,12,8H_3,2,5,6,6,9,13,14,19,0,0
101211,RH1,3,1,2I_3,127,160,-,-,-,-,-,-,0,0
101211,RH3,3,5,8I_3,3,3,5,6,6,7,17,38,0,0
101211,RH3,3,6,8J_3,3,3,4,7,10,11,14,33,31,54939
101211,RH6,3,12,8L_3,2,2,3,4,16,30,35,40,0,0
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
